title,authors,published_date,source,source_type,url,abstract,decision,category,highlight,rationale
Radionuclide Removal in Rare Earth Mineral Processing: A Review of Existing Methods and Emerging Biochemical Approaches Using Siderophores,"Emmanuel Atta Mends, Pengbo Chu",2025-12-15,Minerals,Academic,https://doi.org/10.3390/min15121308,"The extraction of rare earth elements is becoming increasingly essential due to their many applications in current and emerging advanced material technologies. However, in many rare earth deposits, rare earth minerals are associated with radionuclides; specifically, thorium and uranium. The radioactive nature of these elements is a major concern during processing. Techniques such as solvent extraction and precipitation have been employed in this regard to minimize the radioactivity levels and address any related processing or environmental concerns. However, they face various challenges such as high chemical reagent consumption, secondary waste generation, and limited selectivity, which hinder either their scalability or sustainability. The current study provides a literature review about these technologies to provide critical insights on their applications and discuss the challenges hampering their extensive use in the mining industry. Biotechnology is also evaluated and highlighted as a promising, cost-effective, and low-environmental-impact option for the selective recovery of radionuclides from rare earth elements. Specifically, pyoverdine siderophores were discussed due to their catecholates and hydroxamate moieties which have high affinity for radionuclides to enhance selective recovery during rare earth processing. Conversely, integration of this approach into existing mineral processing flowsheets is a constraint. Hence, future studies should focus on optimizing the kinetics of siderophore synthesis and explore a hybrid approach to combine the biotechnological and conventional techniques.",MUST_READ,Hydrometallurgy/ESG,"The study reviews conventional radionuclide removal techniques (SX, precipitation) and evaluates emerging biotechnological approaches using siderophores for selective recovery in rare earth processing.","Directly addresses critical mineral processing challenges, impurity removal, and sustainable biotechnological solutions."
Petrogenesis of Himalayan Leucogranites: A Perspective from Zircon Trace Elements,"Weirui Lu, Zeming Zhang, Jia Yuan, Yang Zhang, Qiang Li, Yu An, Di Zhan",2025-12-15,Minerals,Academic,https://doi.org/10.3390/min15121306,"Magmatic zircon trace element compositions and their variation trends provide valuable insights into the nature and evolutionary processes of magmatic rocks. The Himalayan orogen contains widespread leucogranites. Despite extensive studies on these granites, the features and petrogenetic implications of trace element composition of zircons from the leucogranites remain poorly constrained. In this study, we present a comprehensive dataset comprising new cathodoluminescence (CL) images, U-Pb ages, and trace element compositions of zircons from the Himalayan leucogranites, and compare them to the previously reported trace element data of zircon from I-type granites. Our results show that zircons from the Himalayan leucogranites have high Hf, U, Y, P, Th, Sc, and heavy rare earth element contents (HREE), and low Nb, Ta, Ti, and light rare earth element contents (LREE), and can be divided into two types. Type I (low-U) zircons exhibit well-developed oscillatory zoning, and the U concentrations are mostly &lt;5000 ppm. Type II (high-U) zircons display mottled or spongy textures and possess elevated U contents that are mostly &gt;5000 ppm. Zircons from the Himalayan leucogranites have higher contents of U, Hf, Nb, Ta, and elevated U/Yb ratios, but lower Th/U, Eu/Eu*, Ce/Ce*, LREE/HREE, and Ce/U values than those from I-type granitic zircons. Furthermore, zircons in the Himalayan leucogranites have gradually decreasing Th, Ti, Th/U, Eu/Eu*, and Ce/Ce*, and increasing U, Nb, Ta, and (Yb/Gd)N with increasing Hf. These geochemical features suggest the magmas involved in the genesis of leucogranites originated from the partial melting of metasedimentary sources under relatively reduced conditions, and underwent a high degree of magmatic fractionation.",NOT_SURE,Geology/Petrology,This study details the geochemical features and petrogenetic implications of zircon trace element compositions in Himalayan leucogranites.,"Focuses on fundamental petrogenesis and geological history, lacking direct links to ore processing, geometallurgy, or extraction techniques."
Study on the Crystal Structure and Electronic Properties of Tennantite and Enargite,"Dong Yang, Yuqiong Li, Faqi Qu, Meiguang Jiang, Ciren Quni, Wenjie Zhang, Jianhua Chen, Yuxin Guo",2025-12-15,Minerals,Academic,https://doi.org/10.3390/min15121307,"Tennantite (Cu12As4S13) and enargite (Cu3AsS4) are two important minerals that simultaneously contain copper and arsenic. Detailed studies of their structure and properties are crucial for understanding their oxidation, flotation, and leaching. This study investigates the crystal structures, electronic properties, and reactivity of these two copper-arsenic minerals from the perspectives of atomic bonding, charge, density of states, and d-orbital splitting. The results indicate that tennantite is a crystal with mixed Cu valence states of +2 and +1 (predominantly +1), while the Cu in enargite is in the +1 state. The valence state of As in tennantite (+3) is lower than that in enargite (+5). Orbital energy level calculations show that the energy gaps between the copper d-orbitals are small in both minerals, indicating strong electron delocalization and, consequently, strong covalent character in the crystals, which is also confirmed by Mulliken bond population calculations. The presence of arsenic is the reason for the enhanced covalency. It is noteworthy that tennantite exhibits stronger covalency. The Cu 3d and As 4p electrons in tennantite are more electronically active than those in enargite. In tennantite, the strong d-electron delocalization caused by d-p hybridization between Cu and S leads to similar 3d electronic properties between 3-coordinated and 4-coordinated Cu. The energies of the five d-orbitals of the 4-coordinated Cu in enargite are lower than those of the 4-coordinated Cu in tennantite, which may affect the ability of Cu 3d electrons to enter the empty orbitals of S atoms in sulfur-containing collectors to form π back-bonding, thereby reducing the collecting ability of enargite. On the other hand, the splitting energy of the 4-coordinated Cu 3d orbitals in enargite is significantly smaller than that in tennantite, making the structure less stable and, thus, potentially more prone to dissolution.",MUST_READ,Flotation/Hydrometallurgy,"This work analyzes the crystal structure and electronic properties of tennantite and enargite to understand their distinct behaviors during oxidation, flotation, and leaching.",Provides fundamental mineral processing insights into the reactivity and collector interaction of critical copper-arsenic minerals.
"Advanced 3D Inversion of Airborne EM and Magnetic Data with IP Effects and Remanent Magnetization Modeling: Application to the Mpatasie Gold Belt, Ghana","Michael S. Zhdanov, Leif H. Cox, Michael Jorgensen, Douglas H. Pitcher",2025-12-15,Minerals,Academic,https://doi.org/10.3390/min15121305,"We present an integrated methodology for three-dimensional inversion of large-scale airborne electromagnetic (AEM) and magnetic survey data that simultaneously recovers electrical conductivity, chargeability, and both induced and remanent magnetizations. A central feature of the AEM component is the explicit incorporation of induced polarization (IP) effects. Neglecting IP responses can lead to biased conductivity models, particularly in mineralized systems where disseminated sulfides contribute strongly to chargeability. Using the Generalized Effective-Medium Theory of Induced Polarization (GEMTIP), the inversion produces physically consistent 3D distributions of conductivity and chargeability. To enhance magnetic interpretation, we also implement a vector magnetic inversion that resolves both induced and remanent magnetization from Total Magnetic Intensity (TMI) data, enabling geologically realistic magnetization models in terranes with significant remanence. This integrated workflow was applied to airborne AEM and TMI datasets collected over the Asankrangwa Gold Belt in central Ghana. The inversion results delineate a key exploration target defined by coincident magnetic low and elevated chargeability, interpreted as sulfide-rich gold mineralization and subsequently confirmed by drilling. These results demonstrate that jointly accounting for IP and remanent magnetization in 3D inversion substantially improves subsurface characterization and provides a powerful tool for mineral exploration in structurally and lithologically complex environments.",GOOD_TO_READ,Geometallurgy/Exploration,Presents an integrated 3D inversion methodology for airborne EM and magnetic data that explicitly incorporates IP effects and remanent magnetization modeling for better subsurface characterization in mineral exploration.,Important for advanced upstream exploration techniques used to define and characterize mineralized zones prior to mining and processing.
"Thermal, Structural, and Phase Evolution of the Y2(SO4)3*8H2O–Eu2(SO4)3*8H2O System via Dehydration and Volatilization to Y2(SO4)3–Eu2(SO4)3 and Y2O2(SO4)–Eu2O2(SO4) and Its Thermal Expansion","Andrey P. Shablinskii, Olga Yu. Shorets, Rimma S. Bubnova, Maria G. Krzhizhanovskaya, Margarita S. Avdontceva, Stanislav K. Filatov",2025-12-14,Minerals,Academic,https://doi.org/10.3390/min15121304,"The synthesis, crystal structure, phase transformations, and thermal expansion of (Y1–xEux)2(SO4)3*8H2O (where x = 0, 0.17, 0.33, 0.50, 0.66, 0.83, and 1) are presented. (Y1–xEux)2(SO4)3*8H2O solid solutions were synthesized via crystallization from an aqueous solution. (Y1–xEux)2(SO4)3*8H2O (C2/c) ↔ (Y1–xEux)2(SO4)3 (Pbcn) → (Y1–xEux)2O2SO4 (C2/c) and Eu2(SO4)3*8H2O (C2/c) ↔ Eu2(SO4)3 (C2/c) → Eu2O2SO4 (C2/c) phase transformations for all samples were investigated by high-temperature powder X-ray diffraction, differential scanning calorimetry and thermogravimetry in the temperature ranges of 25–750 and 25–1350 °C, respectively. The aim of this work is to identify the structural heredity of the phases formed during thermal transformations of (Y1–xEux)2(SO4)3*8H2O solid solutions, and to study the mechanisms of the thermal deformations of the crystal structure. Structural relations between these phases were found. The crystal structures of YEu(SO4)3*8H2O and (Y0.83Eu0.17)2(SO4)3*8H2O were refined at −173, −123, −73, −23, 27, and 77 °С. Thermal expansion coefficients for (Y1–xEux)2(SO4)3*8H2O, Eu2(SO4)3, (Y1–xEux)2O2SO4 (where x = 0, 0.17, 0.33, 0.50, 0.66, 0.83, and 1) compounds and solid solutions were calculated for the first time. The thermal expansion of Eu2(SO4)3 was highest in the direction approximately coinciding with the c-axis, because the Eu–O chains extended in this direction. As temperature increased, the crystal structure of (Y1–xEux)2(SO4)3*8H2O expanded significantly in the ac plane along directions close to the a and c axes, while thermal expansion along the b axis was relatively low. The distance between layers in the (Y1–xEux)2(SO4)3*8H2O crystal structure increased with increasing temperature, and corrugated layers (parallel to (101) direction) straightened out due to the rotation of the S2O4 tetrahedra. At high temperature, thermal expansion of Y2O2SO4 was highest along the longer diagonal of the ac parallelogram perpendicular to the plane of the oxo-centered 2∞[YO] layers.",GOOD_TO_READ,Pyrometallurgy/Materials Science,"Investigates the synthesis, crystal structure, and thermal expansion of Yttrium and Europium sulfate solid solutions during dehydration and volatilization up to 1350 °C.",Provides detailed thermal and structural data relevant to critical mineral processing steps involving high-temperature treatment.
Anode Protection Strategies for Next-Generation Lithium–Oxygen Batteries: Toward Dendrite-Free Lithium Metal at Practical Current Densities,"Myeong-Chang Sung, Minhe Kim, Jiyoon Yu, Changhoon Choi",2025-12-15,Metals,Academic,https://doi.org/10.3390/met15121373,"The promise of lithium–oxygen batteries lie not merely in their record-breaking theoretical energy density, but in the challenge of making such energy truly reversible. Rising as the key obstacle is the lithium metal anode, whose remarkable capacity and low potential come at the cost of dendritic growth, unstable solid electrolyte interphases, and relentless reactions with oxygen species. These instabilities, once overshadowed by cathode-related limitations, now define the frontier of research as current densities and energy demands approach practical levels. This review highlights recent progress in two complementary directions for anode protection: physical approaches, such as artificial protective layers, solid or functional separators, and oxygen-blocking interlayers that isolate and stabilize the surface; and chemical strategies, including electrolyte and additive design that enable in situ formation of LiF- and Li3N-rich interfaces with high ionic conductivity and chemical robustness. Together, these approaches establish a unified framework for achieving dendrite-free and oxygen-resistant lithium interfaces. Mastering solid electrolyte interfacial stability rather than only cathode catalysis will ultimately determine whether lithium oxygen battery can evolve from laboratory prototypes to truly viable high-energy systems.",NOT_SURE,Battery Technology,Review focusing on physical and chemical strategies to stabilize the lithium metal anode and prevent dendritic growth in lithium-oxygen batteries.,"Focuses exclusively on advanced battery cell design and electrochemistry (end-use application), not on mineral processing or extractive metallurgy."
Surface Integrity and Corrosion Resistance of Additively Manufactured AZ91 Mg Alloys Post-Processed by Laser Shock Peening,"Shan Gao, Wenquan Wang, Xintian Zhao, Wenhui Yu, Hongyu Zheng, Xingchen Yan, Cheng Chang, Harry M. Ngwangwa, Xiaoli Cui, Zongshen Wang",2025-12-15,Metals,Academic,https://doi.org/10.3390/met15121374,"Mg alloys show great potential in biomedical fields due to superior biocompatibility and biodegradability. Additive manufacturing (AM) provides opportunities in fabricating metallic implants with complex geometries while inherent defects during AM limit its further applications. In this work, laser shock peening (LSP) was employed as a post-processing technique to tailor the surface integrity and corrosion resistance of additively manufactured AZ91 Mg alloy by selective laser melting (SLM). The surface morphology, microstructure and porosity, surface hardness and residual stress, and corrosion resistance of the SLMed alloy before and after LSP were examined. The results show that a gradient structure is formed along the depth direction after LSP and high-density dislocations and high-fraction low-angle grain boundaries are induced. The porosity is gradually reduced in number and size and the highest density of 1.794 g/cm3 is obtained after two impacts of LSP. The surface hardness and residual compressive stress both increase with LSP number and the highest values of 135.26 HV and 40.13 MPa after four impacts, respectively. All of the SLMed alloy samples show improved corrosion resistance after LSP. This work provides a promising route for enhancing the performance of additively manufactured Mg alloys through laser materials surface modification.",NOT_SURE,Materials Science,Mg alloys show great potential in biomedical fields due to superior biocompatibility and biodegradability.,This highly specific materials science topic (AM of Mg alloys for biomedical applications) is peripheral to mineral processing and extractive metallurgy.
Surrogate-Model Prediction of Mechanical Response in Architected Ti6Al4V Cylindrical TPMS Metamaterials,"Mansoureh Rezapourian, Ali Cheloee Darabi, Mohammadreza Khoshbin, Siegfried Schmauder, Irina Hussainova",2025-12-15,Metals,Academic,https://doi.org/10.3390/met15121372,"A Machine Learning (ML)-based surrogate modeling framework is presented for mapping structure–property relationships in architected Ti6Al4V cylindrical TPMS metamaterials subjected to quasi-static compression. A Python–nTop pipeline automatically generated 3456 cylindrical shell lattices (Gyroid, Diamond, Split-P), and ABAQUS/Explicit simulations with a Johnson–Cook failure model for Ti6Al4V quantified their mechanical response. From 3024 valid designs, key mechanical properties targets including elastic modulus (E), yield stress (Y), ultimate strength (U), plateau stress (PL), and energy absorption (EA) were extracted alongside geometric descriptors such as surface area (SA), surface-area-to-volume ratio (SA/VR), and relative density (RD). A multi-output surrogate model (feedforward neural network) trained on the simulated set accurately predicts these properties directly from seven design parameters (thickness; unit cell counts in X, Y, and Z directions; unit cell orientation; height; diameter), enabling rapid property estimation across large design spaces. Topology-dependent trends indicate that Split-P exhibits the highest strength, energy absorption, and total SA, and shows the largest variation in SA/VR; Gyroid exhibits the lowest SA with a moderate SA/VR; and Diamond is the most compliant lattice and maintains a higher SA/VR than Gyroid despite lower SA. RD increases with both SA and SA/VR across all topologies. The framework provides a reusable computational tool for architectured lattices, enabling quick prescreening of implant designs without repeated finite-element analyses.",GOOD_TO_READ,Data Science & AI,A Machine Learning (ML)-based surrogate modeling framework is presented for mapping structure–property relationships in architected Ti6Al4V cylindrical TPMS metamaterials subjected to quasi-static compression.,"The methodology (surrogate models via ML/NN based on FEA) is directly applicable to process modeling and optimization in mineral processing, despite the niche material application."
Computational Modeling of the Temperature Distribution in a Butt Weld of AISI 304L Stainless Steel Using a Volumetric Heat Source,"Thiago da Silva Machado, Thiago da Silveira, Liércio André Isoldi, Luiz Antônio Bragança da Cunda",2025-12-14,Metals,Academic,https://doi.org/10.3390/met15121371,"The Finite Element Method is an indispensable tool for analyzing the transient thermal phenomena in welding processes. This study aims to simulate the temperature field during Gas Metal Arc Welding of an AISI 304L V-groove butt joint, employing a volumetric heat source model. The numerical simulations were conducted using ABAQUS SIMULIA® (version 6.11-3) on a plate measuring 200 mm × 50 mm × 9.5 mm. For validation, the numerical results were compared against experimental data obtained at the Welding Engineering Research Laboratory of Federal University of Rio Grande. A parametric study was performed by varying the geometric parameter b (controlling the volumetric heat distribution depth) to enhance the model’s accuracy and achieve the closest approximation to experimental observations. The calibrated volumetric source demonstrated high accuracy, yielding low percentage differences between predicted and experimental peak temperatures: 1.02%, 2.50%, and 4.44% at the 4 mm, 8 mm, and 12 mm thermocouple positions, respectively.",NOT_SURE,FEM/Welding,The Finite Element Method is an indispensable tool for analyzing the transient thermal phenomena in welding processes.,"While FEM modeling is relevant, this specific application to standard industrial welding of stainless steel is too narrow for core research interests."
Evaluation of Sintered Powder Metallurgy Fe-Cr Alloys as Metallic Interconnects for Solid Oxide Fuel Cell Applications,"Chien-Kuo Liu, Wei‐Ja Shong",2025-12-12,Metals,Academic,https://doi.org/10.3390/met15121370,"Metallic interconnects are key components in planar solid oxide fuel cell (SOFC) stacks. In the present study, we evaluated four Fe-Cr powder metallurgy (PM) alloy specimens, obtained from a domestic manufacturer, at nominal compositions (in wt%) of 5% Fe-95% Cr, 30% Fe-70% Cr, 50% Fe-50% Cr, and 78% Fe-22% Cr. These specimens were tested and evaluated for use in SOFC stack applications. The verification items included coefficient of thermal expansion measurements, high-temperature oxidation resistance and weight gain tests, mechanical strength tests, high-temperature sealant bonding and leakage rate measurements, and high-temperature electrical property (i.e., area-specific resistance) measurements. In addition, the specimens’ microstructures and elemental compositions were observed and analyzed. The test results indicate that the Fe content of the Fe-Cr powder metallurgy alloys influences various properties, while Cr also plays a significant role in high-temperature oxidation resistance. Among the four alloy specimens, the 78Fe-Cr alloy exhibited all of the aforementioned advantages, including a suitable coefficient of thermal expansion of 12.4 × 10−6/°C, excellent high-temperature oxidation resistance, a thermal weight-gain rate of 5.31 × 10−14 g2/cm4·s, a remarkably low high-temperature area-specific resistance of 7.04 mΩ·cm2, and superior bonding and interfacial stability with the GC9 glass–ceramic sealant, achieving a very low leakage rate of 3.47 × 10−6 mbar·l/s/cm. These results indicate that the 78Fe-Cr powder metallurgy alloy performs excellently and is the most promising candidate for metallic interconnects in SOFC stack applications.",NOT_SURE,Materials Science/ESG,Metallic interconnects are key components in planar solid oxide fuel cell (SOFC) stacks.,This highly specialized high-temperature materials science focused on fuel cell components is too far removed from core extractive or processing topics.
